user,diff
649,"[736, 1258, 5445, 2959]"
650,"[6016, 33004, 2997, 31696]"
661,"[6779, 2028, 30749, 1247]"
662,"[3551, 1387, 3949, 223]"
664,"[6702, 1259, 6708, 4262]"
672,"[84944, 25771, 40412, 6782]"
689,"[2058, 173, 6934, 7007]"
692,"[87192, 3104, 112556, 7981]"
693,"[3160, 3418, 247, 6711]"
694,"[50872, 4571, 8614, 7]"
700,"[329, 4993, 68358, 58559]"
710,"[61240, 27611, 6412, 39292]"
724,"[2009, 586, 858, 1230]"
729,"[1288, 8961, 102445, 91542]"
735,"[296, 30810, 215, 112183]"
737,"[32296, 7569, 296, 6709]"
738,"[434, 4037, 6, 54286]"
739,"[2672, 1617, 48780, 3317]"
741,"[8056, 7265, 4973, 951]"
742,"[296, 1089, 1917, 1527]"
744,"[72641, 587, 788, 76093]"
748,"[1200, 3676, 1136, 8983]"
756,"[1253, 63082, 48516, 40581]"
763,"[1682, 1275, 7812, 2858]"
768,"[55232, 96610, 116797, 71910]"
770,"[1916, 63876, 2692, 104374]"
774,"[1960, 1, 5445, 2797]"
775,"[4876, 4973, 8574, 2671]"
777,"[6863, 7266, 6942, 4167]"
779,"[1608, 1304, 2716, 8360]"
784,"[356, 6218, 3916, 5878]"
786,"[59784, 1994, 3535, 5903]"
787,"[1201, 49530, 7981, 44199]"
789,"[5618, 68954, 79091, 56367]"
804,"[736, 380, 63082, 628]"
808,"[67255, 6283, 103659, 47]"
811,"[4848, 46578, 8874, 1251]"
827,"[52281, 922, 55820, 68157]"
828,"[10, 81845, 318, 2167]"
829,"[1081, 410, 34405, 4270]"
841,"[4226, 3275, 5378, 318]"
843,"[8529, 93443, 89804, 229]"
844,"[1645, 6539, 53125, 4310]"
846,"[3448, 5945, 6218, 1517]"
847,"[4464, 2529, 32019, 31685]"
854,"[296, 41569, 1198, 7438]"
864,"[98809, 95207, 53956, 77191]"
865,"[1172, 7044, 1073, 903]"
866,"[102445, 103228, 91653, 85438]"
868,"[968, 2921, 1228, 6852]"
872,"[71464, 46970, 2628, 58559]"
873,"[6857, 5146, 2571, 1198]"
878,"[4027, 50, 7347, 36517]"
887,"[66097, 72011, 2827, 80463]"
890,"[6297, 2, 6708, 500]"
891,"[4993, 1299, 950, 1247]"
893,"[5013, 81132, 2581, 56174]"
894,"[8376, 1617, 72226, 44694]"
898,"[1704, 2125, 7318, 7]"
902,"[3977, 339, 1196, 5445]"
910,"[112183, 43836, 116797, 7263]"
912,"[3720, 4226, 267, 27773]"
913,"[92259, 80906, 1291, 60069]"
915,"[3296, 3546, 4306, 3347]"
916,"[71899, 76093, 66934, 6711]"
919,"[27432, 1089, 2858, 3006]"
923,"[1234, 778, 35836, 2301]"
924,"[480, 4226, 48780, 47]"
926,"[7153, 4011, 29, 1175]"
932,"[2993, 1387, 2949, 1223]"
933,"[6776, 5690, 26776, 68358]"
935,"[520, 3892, 492, 2087]"
937,"[61394, 74275, 4963, 35836]"
940,"[34153, 7034, 27803, 2686]"
948,"[88744, 2571, 8368, 5991]"
949,"[32898, 60684, 8957, 58559]"
951,"[6857, 1210, 6333, 44191]"
964,"[8376, 72998, 108932, 26662]"
969,"[6552, 79702, 86882, 1464]"
971,"[2115, 2916, 7323, 47423]"
975,"[33679, 61323, 106782, 3471]"
979,"[593, 6548, 8665, 106487]"
982,"[5617, 7099, 2606, 6711]"
984,"[592, 8665, 8132, 5349]"
990,"[45722, 2571, 1580, 7099]"
994,"[5617, 46723, 55765, 86487]"
995,"[5481, 37729, 2746, 48394]"
997,"[61024, 6874, 1213, 63082]"
1000,"[48780, 59315, 48516, 7361]"
1001,"[2413, 364, 7293, 4974]"
1003,"[1704, 4306, 3275, 2997]"
1015,"[2409, 6378, 3827, 2410]"
1016,"[7361, 5690, 1265, 1639]"
1022,"[741, 60684, 1653, 7438]"
1023,"[1682, 1027, 260, 1196]"
1024,"[32, 8961, 41285, 4223]"
1028,"[4896, 60397, 2006, 97752]"
1034,"[1961, 3060, 5853, 1965]"
1036,"[296, 8874, 47099, 68954]"
1048,"[4896, 5010, 8949, 106782]"
1052,"[2360, 27721, 2946, 6981]"
1061,"[8360, 2916, 7454, 1240]"
1065,"[79702, 8636, 541, 150]"
1068,"[2321, 6708, 4901, 3270]"
1073,"[1208, 68954, 2011, 60069]"
1074,"[3507, 7132, 6350, 527]"
1078,"[33312, 2692, 3052, 44199]"
1090,"[7154, 6170, 6373, 32598]"
1094,"[6378, 92420, 2324, 72998]"
1106,"[6283, 48780, 165, 2278]"
1108,"[5618, 98243, 2324, 83270]"
1141,"[92243, 106487, 8221, 68791]"
1145,"[2952, 913, 1945, 8228]"
1147,"[2970, 6971, 34542, 78679]"
1148,"[8961, 1388, 4886, 71535]"
1154,"[3105, 1732, 55820, 8981]"
1155,"[2443, 2692, 222, 2150]"
1158,"[55232, 2707, 1196, 3173]"
1163,"[2795, 1036, 1333, 7318]"
1164,"[8984, 4226, 356, 4310]"
1165,"[1254, 7934, 62, 3415]"
1166,"[51077, 5349, 318, 50158]"
1168,"[27904, 32587, 924, 53519]"
1175,"[56788, 5957, 1285, 56367]"
1198,"[1960, 2857, 47099, 5388]"
1200,"[26939, 69844, 54503, 26887]"
1202,"[1089, 5418, 3578, 7022]"
1206,"[4880, 74946, 3275, 56367]"
1222,"[35836, 2028, 150, 81591]"
1226,"[1220, 260, 1270, 919]"
1227,"[225, 2858, 33660, 333]"
1228,"[1104, 4361, 1957, 3703]"
1233,"[5952, 4226, 2571, 364]"
1239,"[60074, 593, 802, 79132]"
1244,"[27592, 27904, 74754, 103801]"
1246,"[68954, 72011, 88125, 41566]"
1251,"[1041, 3755, 5812, 41]"
1252,"[60072, 1258, 5459, 1580]"
1254,"[8866, 47044, 46970, 362]"
1256,"[26614, 2803, 2126, 1199]"
1261,"[7361, 587, 292, 1213]"
1265,"[1032, 45722, 74789, 4896]"
1268,"[96610, 56587, 64620, 51935]"
1271,"[4226, 2571, 1228, 112183]"
1272,"[84152, 273, 81834, 1293]"
1274,"[52281, 4027, 1276, 551]"
1277,"[111360, 115149, 5464, 8600]"
1282,"[1208, 62376, 6379, 750]"
1288,"[4344, 337, 4155, 4340]"
1291,"[110, 40819, 318, 82143]"
1305,"[1080, 6666, 3424, 4886]"
1311,"[4993, 59141, 595, 2085]"
1317,"[3753, 2706, 1387, 3253]"
1322,"[5049, 3980, 4901, 5903]"
1328,"[4344, 7570, 5782, 33679]"
1331,"[106920, 71745, 3148, 3255]"
1335,"[6377, 4995, 260, 589]"
1338,"[1393, 594, 1334, 4103]"
1339,"[84944, 97921, 112623, 116823]"
1341,"[1193, 5956, 96737, 93838]"
1347,"[4880, 3969, 6539, 2005]"
1349,"[55247, 4011, 79132, 68347]"
1364,"[2985, 50, 2396, 3421]"
1370,"[1201, 6874, 48780, 47]"
1374,"[5633, 55721, 1732, 1221]"
1376,"[736, 953, 2001, 500]"
1384,"[318, 5617, 50, 902]"
1387,"[41569, 3578, 7147, 6724]"
1393,"[1396, 2003, 1732, 2005]"
1396,"[5304, 5017, 2731, 2351]"
1398,"[3098, 1203, 3068, 33166]"
1409,"[296, 48394, 4011, 2028]"
1411,"[1617, 4276, 4102, 4623]"
1419,"[592, 33679, 1035, 33639]"
1426,"[3977, 79242, 27020, 79293]"
1433,"[43936, 104283, 1291, 74685]"
1446,"[53894, 53972, 5254, 3555]"
1453,"[25, 4642, 6502, 2010]"
1454,"[1193, 1210, 54075, 79695]"
1455,"[1682, 51925, 7254, 3623]"
1456,"[1228, 1060, 1022, 2791]"
1458,"[4896, 8874, 3555, 1036]"
1468,"[106920, 109487, 64957, 94959]"
1475,"[1, 6772, 2997, 3897]"
1476,"[3897, 1682, 6874, 7762]"
1478,"[78499, 2797, 68358, 2291]"
1486,"[1172, 29, 4973, 3527]"
1489,"[2944, 6874, 2028, 648]"
1494,"[1240, 1194, 6428, 1378]"
1496,"[5971, 85414, 6333, 87222]"
1500,"[553, 44204, 38061, 1213]"
1503,"[74458, 4226, 3148, 81591]"
1507,"[3448, 4553, 1921, 1261]"
1515,"[3016, 2657, 4734, 7079]"
1516,"[59336, 34, 44555, 5010]"
1518,"[57528, 105844, 68157, 7317]"
1525,"[1240, 1617, 69122, 555]"
1528,"[1625, 8874, 59315, 8961]"
1532,"[25, 595, 2396, 318]"
1539,"[4214, 589, 68157, 6222]"
1550,"[2329, 4226, 2115, 1198]"
1551,"[103984, 103235, 2997, 85774]"
1554,"[63113, 32587, 56782, 79695]"
1559,"[8368, 1907, 7444, 96588]"
1562,"[2640, 1625, 2795, 2916]"
1568,"[27728, 3529, 1236, 4183]"
1572,"[593, 62374, 780, 54286]"
1573,"[53769, 4027, 7299, 27773]"
1584,"[733, 62733, 36509, 165]"
1587,"[296, 353, 33794, 1199]"
1588,"[608, 353, 46976, 111622]"
1590,"[2918, 1213, 26662, 8607]"
1601,"[8873, 2692, 39414, 3897]"
1602,"[71211, 8874, 86347, 104069]"
1609,"[7745, 5618, 2683, 316]"
1612,"[26649, 53322, 541, 66934]"
1615,"[1304, 3793, 2912, 2581]"
1616,"[3435, 69757, 3910, 1127]"
1619,"[63131, 380, 58998, 59143]"
1620,"[7143, 1732, 1061, 59615]"
1626,"[8784, 1299, 44195, 33166]"
1627,"[8961, 5971, 4995, 26082]"
1629,"[2001, 1834, 112556, 53519]"
1630,"[1288, 4896, 4886, 8368]"
1641,"[5952, 4993, 2762, 3578]"
1644,"[3273, 115122, 114795, 4239]"
1650,"[46976, 353, 71156, 110]"
1657,"[44555, 43460, 37733, 44694]"
1662,"[1680, 55276, 4995, 26524]"
1672,"[68554, 1307, 1222, 1343]"
1678,"[2353, 5066, 805, 116823]"
1686,"[58559, 1371, 908, 8207]"
1690,"[99114, 41571, 356, 7254]"
1693,"[31410, 2571, 43652, 5956]"
1700,"[8636, 2571, 260, 3418]"
1703,"[91529, 2706, 2571, 58559]"
1704,"[62336, 6618, 69122, 741]"
1705,"[2329, 111362, 115617, 56174]"
1707,"[4448, 5971, 1203, 8636]"
1714,"[3481, 61323, 4973, 64614]"
1716,"[47099, 4027, 60069, 2959]"
1719,"[5218, 1148, 49957, 1246]"
1728,"[1, 3114, 1258, 6377]"
1730,"[40815, 2355, 2078, 6863]"
1732,"[4881, 1961, 2329, 5945]"
1734,"[103984, 115569, 105835, 2300]"
1736,"[1208, 3114, 2005, 231]"
1738,"[46322, 33794, 55765, 7090]"
1741,"[7560, 25891, 52435, 2971]"
1745,"[36537, 2918, 5219, 4878]"
1746,"[4186, 5147, 3507, 4422]"
1750,"[1259, 292, 150, 7438]"
1751,"[1288, 5418, 45499, 110]"
1755,"[1620, 2085, 51086, 2028]"
1757,"[1464, 1809, 2068, 3262]"
1758,"[52929, 6874, 2683, 46723]"
1763,"[37729, 913, 1876, 1007]"
1770,"[521, 971, 318, 8783]"
1772,"[1289, 1931, 7116, 80463]"
1774,"[45722, 5418, 1250, 923]"
1775,"[97304, 2857, 60418, 99114]"
1776,"[6016, 5618, 1196, 2918]"
1780,"[1625, 3996, 37857, 97]"
1786,"[46976, 45722, 5989, 49530]"
1789,"[252, 5989, 2278, 5903]"
1804,"[89492, 85020, 85367, 67087]"
1806,"[6365, 2628, 173, 2502]"
1810,"[82459, 1580, 81845, 33454]"
1813,"[55232, 37386, 1220, 1580]"
1815,"[4776, 5481, 7438, 4887]"
1816,"[88129, 57353, 2490, 1221]"
1819,"[1584, 1, 2571, 377]"
1823,"[1617, 2762, 50, 81845]"
1825,"[60040, 5137, 47404, 69481]"
1829,"[3897, 1214, 4270, 3175]"
1834,"[3105, 46723, 54997, 1215]"
1837,"[105504, 103249, 407, 47999]"
1838,"[3617, 7458, 3452, 4958]"
1839,"[5944, 3979, 2124, 4262]"
1840,"[4306, 6957, 5349, 3039]"
1844,"[160, 8957, 4638, 4039]"
1848,"[97913, 3429, 65261, 81845]"
1849,"[54272, 4024, 541, 4016]"
1854,"[6873, 1197, 5222, 2791]"
1861,"[296, 1961, 8132, 3252]"
1870,"[3578, 1732, 30749, 5989]"
1876,"[41571, 39427, 7438, 1407]"
1882,"[6377, 1193, 5669, 3897]"
1883,"[8874, 1258, 2302, 2470]"
1887,"[77561, 78034, 51091, 1196]"
1890,"[6874, 6708, 5782, 1199]"
1902,"[1953, 1307, 7076, 2028]"
1903,"[8368, 4169, 40815, 39183]"
1906,"[3968, 95377, 91658, 41566]"
1919,"[8874, 1304, 72226, 27803]"
1922,"[5152, 1608, 27373, 61352]"
1925,"[1208, 380, 541, 165]"
1927,"[70728, 74458, 71450, 632]"
1930,"[2968, 3683, 27005, 1079]"
1932,"[1193, 2706, 34405, 64839]"
1935,"[1968, 2115, 1148, 38038]"
1958,"[56171, 5971, 6350, 68319]"
1960,"[480, 32587, 2355, 4022]"
1963,"[1964, 2116, 5013, 7438]"
1966,"[4896, 7013, 3629, 3134]"
1968,"[88744, 5618, 102125, 6350]"
1969,"[1945, 50, 1219, 60684]"
1979,"[1947, 1244, 7669, 750]"
1984,"[5379, 75395, 3950, 39183]"
1997,"[3256, 4993, 49530, 733]"
2001,"[7347, 2644, 55269, 4967]"
2004,"[1266, 4308, 541, 6870]"
2008,"[2696, 1057, 380, 8376]"
2010,"[595, 8972, 78499, 79091]"
2013,"[4011, 32587, 30749, 70]"
2015,"[4641, 30810, 4979, 349]"
2019,"[1136, 1, 2140, 1895]"
2024,"[71057, 40851, 81845, 3030]"
2029,"[208, 1273, 1222, 3158]"
2033,"[745, 930, 4235, 1222]"
2034,"[44191, 5418, 208, 52319]"
2035,"[1, 6874, 595, 239]"
2047,"[93840, 26865, 94959, 4239]"
2051,"[1464, 62155, 30820, 58998]"
2052,"[3791, 81791, 8973, 81845]"
2057,"[169, 2628, 6534, 3062]"
2062,"[7360, 3363, 1027, 34405]"
2065,"[4246, 3044, 1805, 48774]"
2068,"[45928, 104841, 97938, 8147]"
2070,"[73017, 1907, 69844, 5445]"
2071,"[608, 2730, 2788, 5319]"
2072,"[33166, 3000, 27899, 8014]"
2075,"[1089, 4034, 8874, 1198]"
2081,"[608, 5507, 1188, 6541]"
2085,"[64993, 364, 261, 4973]"
2089,"[66097, 33794, 3285, 72998]"
2092,"[3753, 3499, 64839, 47]"
2095,"[1544, 6873, 1485, 62]"
2107,"[2513, 30749, 750, 6863]"
2108,"[2542, 1197, 318, 5903]"
2109,"[168, 7018, 2288, 3552]"
2120,"[3578, 2916, 6365, 1950]"
2122,"[912, 2571, 33903, 4975]"
2128,"[3479, 42004, 56174, 39183]"
2131,"[61024, 593, 2606, 8950]"
2137,"[1704, 1673, 1200, 1095]"
2138,"[3000, 91542, 1374, 81847]"
2150,"[4105, 1090, 7325, 7367]"
2151,"[3256, 1090, 4148, 5630]"
2158,"[3285, 33162, 858, 7254]"
2160,"[8865, 34271, 2502, 4223]"
2161,"[116797, 2340, 96821, 56367]"
2166,"[337, 7147, 508, 6377]"
2177,"[4361, 7090, 1212, 38886]"
2184,"[73344, 44195, 30812, 81845]"
2188,"[53953, 55290, 5349, 1527]"
2193,"[1921, 72714, 2395, 2732]"
2197,"[4022, 7380, 66934, 54503]"
2202,"[6016, 27410, 7285, 4022]"
2208,"[105504, 60753, 104913, 100302]"
2209,"[8937, 1250, 2858, 2022]"
2210,"[8809, 1258, 40819, 4308]"
2217,"[104, 7177, 7254, 4703]"
2219,"[33672, 5989, 104374, 55247]"
2222,"[88, 5418, 837, 6365]"
2224,"[55765, 1201, 3421, 1270]"
2227,"[1, 42946, 5995, 150]"
2230,"[64614, 1266, 2470, 215]"
2231,"[7254, 5445, 3510, 46967]"
2232,"[2176, 7347, 40278, 45447]"
2234,"[43832, 1997, 68952, 68157]"
2238,"[27834, 1252, 56782, 68358]"
2241,"[30898, 1051, 3020, 3358]"
2242,"[1097, 923, 173, 3142]"
2243,"[1288, 1081, 1682, 6]"
2245,"[50792, 1097, 37739, 165]"
2246,"[296, 4306, 63082, 59315]"
2248,"[1625, 8810, 51277, 1214]"
2252,"[356, 48780, 47610, 260]"
2260,"[608, 40819, 8949, 2567]"
2261,"[8337, 30707, 56788, 56885]"
2268,"[5618, 52885, 7766, 750]"
2269,"[6890, 8167, 110, 1959]"
2270,"[71464, 5867, 1912, 109374]"
2274,"[87232, 6874, 80906, 5954]"
2275,"[3761, 3994, 3513, 1917]"
2276,"[1682, 96811, 780, 79132]"
2292,"[1913, 2686, 5292, 1252]"
2295,"[99114, 4022, 72998, 1527]"
2299,"[5445, 1340, 1261, 2550]"
2301,"[3360, 919, 500, 60487]"
2302,"[1704, 6331, 1086, 919]"
2308,"[4963, 597, 53125, 56671]"
2310,"[26178, 6509, 3470, 94959]"
2314,"[69275, 1220, 3421, 719]"
2320,"[7831, 6874, 32587, 6663]"
2328,"[3034, 1682, 1291, 1270]"
2330,"[3489, 2490, 733, 45431]"
2333,"[6365, 1, 36517, 2797]"
2335,"[59126, 379, 1270, 5463]"
2338,"[1641, 3147, 3809, 7318]"
2339,"[1760, 51084, 48082, 1028]"
2343,"[2728, 4939, 3742, 110]"
2344,"[4296, 8833, 5528, 3697]"
2345,"[5952, 48385, 6618, 48043]"
2349,"[54272, 31658, 515, 1080]"
2352,"[1272, 161, 44587, 2761]"
2356,"[4344, 73017, 74458, 3578]"
2361,"[1682, 11, 3578, 47]"
2367,"[91529, 112183, 90405, 2959]"
2368,"[296, 3481, 1921, 2959]"
2383,"[4963, 555, 2692, 541]"
2387,"[5329, 562, 2731, 7484]"
2391,"[296, 1201, 2699, 1196]"
2392,"[71129, 2642, 1370, 1198]"
2393,"[296, 2858, 1221, 2687]"
2394,"[8665, 33493, 377, 1527]"
2395,"[8169, 4370, 2355, 2858]"
2397,"[1258, 48043, 70286, 911]"
2402,"[32019, 1391, 5254, 6934]"
2405,"[2353, 380, 377, 3527]"
2408,"[91658, 2411, 2716, 81591]"
2410,"[57368, 1584, 6979, 5816]"
2423,"[1921, 106487, 2628, 4719]"
2428,"[616, 1704, 5418, 2294]"
2447,"[1777, 8970, 1485, 2447]"
2465,"[1240, 1036, 2174, 7438]"
2469,"[8752, 1281, 922, 1212]"
2470,"[3105, 33162, 4508, 6953]"
2474,"[55290, 2579, 4995, 51662]"
2482,"[5816, 145, 53322, 5952]"
2483,"[3545, 56788, 1028, 56367]"
2484,"[5051, 6996, 5525, 58047]"
2487,"[72011, 53996, 72998, 527]"
2488,"[34536, 1387, 8970, 6331]"
2492,"[4226, 5989, 4262, 5903]"
2509,"[4776, 1358, 1208, 7143]"
2511,"[3105, 4995, 750, 2951]"
2515,"[36529, 104841, 1214, 2313]"
2517,"[34534, 27700, 3174, 2959]"
2523,"[8961, 1644, 2702, 1321]"
2528,"[2805, 3147, 3037, 1358]"
2529,"[58162, 33794, 4677, 71838]"
2542,"[8360, 1866, 5952, 886]"
2544,"[97752, 2858, 106100, 111759]"
2550,"[6377, 293, 6214, 663]"
2551,"[27728, 4873, 5690, 49272]"
2558,"[1784, 2997, 27478, 2959]"
2560,"[8665, 51662, 72998, 1527]"
2561,"[52328, 27904, 2916, 1580]"
2565,"[5265, 1721, 44022, 7247]"
2568,"[109487, 5970, 78316, 116823]"
2581,"[2329, 3556, 8622, 2542]"
2584,"[6104, 6502, 45722, 54286]"
2586,"[2248, 82459, 500, 318]"
2590,"[2881, 4370, 500, 5669]"
2591,"[3948, 482, 1196, 1214]"
2601,"[1200, 2657, 3114, 551]"
2605,"[49280, 47099, 380, 589]"
2606,"[218, 4027, 118700, 2882]"
2607,"[1080, 1073, 344, 2028]"
2611,"[608, 4963, 4973, 38600]"
2620,"[31696, 1275, 34405, 110]"
2626,"[296, 2617, 778, 2273]"
2650,"[89039, 6187, 65126, 247]"
2657,"[109487, 77561, 115149, 68791]"
2661,"[592, 1552, 3948, 1247]"
2663,"[5992, 1625, 41285, 2951]"
2668,"[593, 522, 4396, 1150]"
2669,"[59315, 3421, 4886, 5477]"
2670,"[5816, 33794, 780, 4973]"
2681,"[32, 48394, 2858, 608]"
2683,"[6041, 595, 457, 1270]"
2684,"[45672, 253, 4558, 33615]"
2691,"[3504, 593, 55442, 8950]"
2693,"[3424, 1201, 26133, 1207]"
2696,"[2541, 48394, 1573, 1270]"
2699,"[2416, 4002, 5292, 5782]"
2702,"[57147, 51834, 8371, 8591]"
2709,"[37384, 5283, 51540, 1968]"
2713,"[48416, 65802, 19, 52973]"
2728,"[72720, 1682, 4886, 78039]"
2731,"[3160, 4993, 74324, 1967]"
2742,"[61248, 2297, 112556, 109487]"
2748,"[1, 5010, 223, 919]"
2749,"[2571, 1228, 1923, 3996]"
2751,"[914, 3363, 112852, 1103]"
2756,"[4226, 7147, 910, 750]"
2759,"[1265, 5618, 33660, 7831]"
2761,"[590, 5618, 4022, 62]"
2771,"[57640, 41569, 1197, 58559]"
2772,"[5784, 508, 95309, 86190]"
2775,"[45728, 63113, 8874, 7143]"
2780,"[46976, 1777, 2001, 41997]"
2782,"[913, 3730, 6380, 56274]"
2783,"[1184, 63082, 7086, 39183]"
2788,"[3160, 33794, 2490, 6365]"
2803,"[61024, 6874, 58998, 551]"
2809,"[50685, 63082, 7149, 215]"
2810,"[6539, 92259, 89780, 589]"
2813,"[112552, 1, 99114, 55245]"
2816,"[3160, 2076, 2968, 3702]"
2821,"[4308, 1188, 3949, 33166]"
2825,"[260, 750, 4878, 51255]"
2826,"[81512, 6377, 2028, 70599]"
2835,"[1952, 1959, 2194, 1263]"
2837,"[2618, 1580, 1653, 534]"
2843,"[2794, 7139, 48780, 1955]"
2847,"[1288, 26258, 3203, 5022]"
2854,"[3072, 1080, 68157, 26246]"
2855,"[87520, 58293, 5574, 58295]"
